file_name,assembly_idx
0001.mol,7
0002.mol,7
0003.mol,7
0004.mol,9
0005.mol,6
0006.mol,9
0007.mol,6
0008.mol,5
0009.mol,9
0010.mol,7
0011.mol,10
0012.mol,10
0013.mol,10
0014.mol,10
0015.mol,9
0016.mol,10
0017.mol,6
0018.mol,8
0019.mol,6
0020.mol,5
0021.mol,7
0022.mol,10
0023.mol,6
0024.mol,7
0025.mol,6
0026.mol,9
0027.mol,9
0028.mol,8
0029.mol,9
0030.mol,7
0031.mol,8
0032.mol,7
0033.mol,7
0034.mol,10
0035.mol,9
0036.mol,9
0037.mol,11
0038.mol,11
0039.mol,12
0040.mol,9
0041.mol,9
0042.mol,10
0043.mol,8
0044.mol,9
0045.mol,10
0046.mol,9
0047.mol,13
0048.mol,9
0049.mol,8
0050.mol,7
0051.mol,13
0052.mol,8
0053.mol,10
0054.mol,7
0055.mol,10
0056.mol,9
0057.mol,10
0058.mol,10
0059.mol,9
0060.mol,12
0061.mol,8
0062.mol,7
0063.mol,11
0064.mol,10
0065.mol,12
0066.mol,12
0067.mol,10
0068.mol,9
0069.mol,13
0070.mol,10
0071.mol,10
0072.mol,10
0073.mol,13
0074.mol,14
0075.mol,6
0076.mol,11
0077.mol,11
0078.mol,11
0079.mol,10
0080.mol,11
0081.mol,10
0082.mol,12
0083.mol,11
0084.mol,11
0085.mol,10
0086.mol,9
0087.mol,13
0088.mol,12
0089.mol,11
0090.mol,12
0091.mol,9
0092.mol,11
0093.mol,14
0094.mol,12
0095.mol,9
0096.mol,13
0097.mol,11
0098.mol,16
0099.mol,12
0100.mol,10
0101.mol,10
0102.mol,9
0103.mol,16
0104.mol,13
0105.mol,14
0106.mol,11
0107.mol,14
0108.mol,11
0109.mol,11
0110.mol,12
0111.mol,13
0112.mol,11
0113.mol,13
0114.mol,12
0115.mol,10
0116.mol,11
0117.mol,11
0118.mol,10
0119.mol,10
0120.mol,11
0121.mol,11
0122.mol,10
0123.mol,13
0124.mol,10
0125.mol,13
0126.mol,13
0127.mol,14
0128.mol,9
0129.mol,12
0130.mol,8
0131.mol,14
0132.mol,11
0133.mol,10
0134.mol,8
0135.mol,9
0136.mol,12
0137.mol,10
0138.mol,14
0139.mol,11
0140.mol,9
0141.mol,9
0142.mol,13
0143.mol,16
0144.mol,12
0145.mol,11
0146.mol,9
0147.mol,12
0148.mol,10
0149.mol,8
0150.mol,10
0151.mol,11
0152.mol,13
0153.mol,12
0154.mol,10
0155.mol,12
0156.mol,11
0157.mol,10
0158.mol,13
0159.mol,15
0160.mol,12
0161.mol,8
0162.mol,17
0163.mol,16
0164.mol,10
0165.mol,10
0166.mol,9
0167.mol,10
0168.mol,13
0169.mol,8
0170.mol,12
0171.mol,12
0172.mol,11
0173.mol,8
0174.mol,9
0175.mol,10
0176.mol,13
0177.mol,9
0178.mol,15
0179.mol,13
0180.mol,10
0181.mol,13
0182.mol,20
0183.mol,9
0184.mol,10
0185.mol,8
0186.mol,17
0187.mol,13
0188.mol,12
0189.mol,13
0190.mol,14
0191.mol,11
0192.mol,11
0193.mol,13
0194.mol,10
0195.mol,18
0196.mol,14
0197.mol,12
0198.mol,11
0199.mol,13
0200.mol,17
0201.mol,13
0202.mol,13
0203.mol,13
0204.mol,16
0205.mol,17
0206.mol,13
0207.mol,7
0208.mol,12
0209.mol,13
0210.mol,11
0211.mol,11
0212.mol,13
0213.mol,10
0214.mol,12
0215.mol,16
0216.mol,16
0217.mol,13
0218.mol,16
0219.mol,14
0220.mol,12
