metric,value
total_return,0.42073795790484647
annualized_return,0.017559238853030568
annualized_volatility,0.09632529795923714
sharpe_ratio,-0.025338734462075706
sortino_ratio,-0.024286234473926385
max_drawdown,-0.32404701052803286
avg_drawdown,-0.13124602015247572
avg_daily_return,0.00008751890535858449
win_rate,0.5063938618925832
num_trades,950.0
num_price_points,5084.0
num_weight_events,950.0
parsing_time_ms,18.0
simulation_time_ms,3.0
total_time_ms,21.0
simulation_speed_dates_per_sec,1680707.2722987111
