ID,Name,title_xmf-Qaaa-x-MeTr
,Xubua V: Fortune Seeker,Bediš magoru
,Xubua XXIII: A Bego and Tatraq'ani Tale,Bego do Tatarq’aniš arik’i
,Xubua IX: The Milk Boiler,Bžaš mapunapali
,Xubua II: A Sister and Brother Tale,Da do ǯimaš arik’i
,Xubua XXII: A Luduk'i and Aleksandre Tale,Luduk’i do Aleksandreš arik’i
,Xubua LVII: A Stronger One than a Strong One (Fairy Tale),Nʒalieriš umosi nʒalieriši (arik’i)
,Xubua XI: Ombolia,Ombolia
,Xubua XII: A Wizard and Witch Tale,Rošap’i do Rok’ap’iš arik’i 
,A Baldie Tale,Zγap’ar xvaraše
